Timestamp,Group Name (use DNA if none),What main industry have you worked in?,How many years professional experience do you have?,How many years programming experience do you have?,What key experiences do you have?,Data management,Statistics,Visualisation,Machine Learning & Data Mining,Software Engineering,Communication,How would you define Data Analytics in one sentence?,What key skills do you want to develop?,What kind of role would you like to go into?,What industry would you like to go into?
,,,,,,,,,,,,,,,
7/28/2018 11:41:00,DNA,Financial and Insurance Services,5,2,"Relational databases, Statistical Analysis, Programming, Requirements gathering",4,5,4,4,2,5,The art of presenting data in a manner that aids decision making,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Requirements gathering, Product-driven thinking","Data Scientist, Analyst, Product Management, UX/Design",Financial and Insurance Services
7/30/2018 12:32:59,DNA,Information Technology,0,2,"Relational databases, NoSQL, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software Engineering",3,2,3,2,4,4,Appliying basic statistics and information retrieval to solve business problems,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software engineering","Data Scientist, Research",Information Technology
7/31/2018 14:27:18,DNA,Financial and Insurance Services,1,2,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Management, Requirements gathering, Ethics, Product-driven thinking",4,4,4,4,3,5,The focus of Data Analytics lies in examining raw data with the purpose of drawing insights about that information.,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Use of relevant software","Data Scientist, Quantitative Analyst",Financial and Insurance Services
8/1/2018 14:20:29,DNA,Information Technology,1,3,"Relational databases, Statistical Analysis, Data mining, Programming",4,5,4,2,2,3,Getting insights from large amounts of information,"Statistical Analysis, Visualisation","Data Scientist, Analyst, (Applied) Statistician",Information Technology
8/1/2018 21:58:10,DNA,Information Technology,2,2,"Relational databases, Customer Relationship Management, Management, Requirements gathering",5,2,5,2,1,5,Information,"Data mining, Natural Language Processing",Consultant,Information Technology
8/2/2018 2:14:55,DNA,Mining,0,2,"NoSQL, Statistical Analysis, Visualisation, Programming",5,5,5,4,3,5,Analysing collected information to create a bigger story and conclude results.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Data mining","Data Scientist, Analyst, (Applied) Statistician, Research, UX/Design",Information Technology
8/2/2018 10:25:35,DNA,Bioinformatics / Biomedical Research,0,4,"Relational databases, Statistical Analysis, Machine learning, Data mining, Programming",3,5,4,4,3,4,Applied Computer Science and Statistics,"Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Relevant tools, platforms and technologies","Data Scientist, Research, Bioinformatician",Bioinformatics / Biomedical Research
8/2/2018 11:25:23,DNA,Information Technology,0,0,,5,5,5,5,5,5,Analysis of Data,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming",Security Analyst,Information Technology
8/2/2018 11:25:40,DNA,Information Technology,0,3,"Statistical Analysis, Software Engineering",4,5,5,5,4,3,Analyse the data,"Machine learning, Data mining","Data Scientist, Data Architect",Financial and Insurance Services
8/2/2018 11:25:47,DNA,Information Technology,0,3,"Statistical Analysis, Software Engineering",4,5,5,5,4,3,Analyse the data,"Machine learning, Data mining","Data Scientist, Data Architect",Financial and Insurance Services
8/2/2018 11:26:23,DNA,Information Technology,<1,3,"Relational databases, Programming, Customer Relationship Management, Management, Requirements gathering, Software Engineering",5,5,3,4,4,5,Finding insights from data,"Machine learning, Data mining, Natural Language Processing",Software Engineer,Information Technology
8/2/2018 11:26:37,DNA,Information Technology,0,3,"Information Retrieval, Machine learning, Programming, Management",4,5,5,4,3,3,Gathering hidden information behind the massive data.,"Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Software engineering","Data Scientist, Analyst, Software Engineer, UX/Design",Information Technology
8/2/2018 11:27:17,DNA,Information Technology,0.5,2,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Programming, Requirements gathering, Ethics, Software Engineering",4,3,4,4,5,4,it helps making a wise decision,"NoSQL, Data mining, Natural Language Processing",Software Engineer,Information Technology
8/2/2018 11:28:02,Uri?,Erotic dance,140,87,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software Engineering, Product-driven thinking",5,5,5,5,5,5,Jesus is our lord and saviour.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking, Singing","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Quantitative Analyst, Actuary, Consultant, Product Management, Software Engineer, Research, UX/Design, Professional rapper.",Education and Training
8/2/2018 11:28:12,DNA,Retail,1,3,"NoSQL, Information Retrieval, Statistical Analysis, Machine learning, Data mining, Programming, Management, Requirements gathering, Software Engineering, Product-driven thinking",5,5,4,4,3,4,Data Analytics help clients understand their data and lead to better decision-making.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst",Information Technology
8/2/2018 11:29:36,DNA,ScientiIc Research,3,4,"Machine learning, Programming, Customer Relationship Management",5,5,5,4,4,5,Derive knowledge from and utilise data.,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Requirements gathering, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Product Management, Software Engineer, UX/Design",Information Technology
8/2/2018 11:30:01,DNA,Information Technology,0,2,"NoSQL, Statistical Analysis, Machine learning, Programming, Requirements gathering",2,4,2,3,2,2,"to share data to people by acquiring, exploring and analysing given data.","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking, AI,IoT","Data Engineer, Data Scientist, Consultant, Product Management, Software Engineer, UX/Design",Retail
8/2/2018 11:30:49,DNA,Information Technology,1,2,"Relational databases, Information Retrieval, Statistical Analysis, Programming",4,4,4,3,3,4,The process of obtaining and interpreting data ,"Relational databases, Programming, Software engineering","Data Scientist, Data Architect, Actuary, Consultant, Product Management",Information Technology
8/2/2018 11:37:45,DNA,Information Technology,0,2.5,"Relational databases, Statistical Analysis, Machine learning, Programming",4,4,4,4,3,2,is the process of mining realistic meanings behind data,"Statistical Analysis, Visualisation, Data mining",AI related / programmer,Information Technology
8/2/2018 12:46:39,DNA,Information Technology,0,2,"Relational databases, Machine learning, Programming",3,4,2,5,3,3,data is the key for decision making,"NoSQL, Statistical Analysis, Visualisation, Data mining, Requirements gathering",Data Scientist,Information Technology
8/2/2018 12:56:49,DNA,None,0,3,"NoSQL, Statistical Analysis, Visualisation, Programming, Management",5,3,4,3,3,5,Extracting meaningful insights from data,"Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Software engineering","Data Scientist, Analyst, (Applied) Statistician",Information Technology
8/2/2018 13:12:41,DNA,Education and Training,2,4,"Relational databases, Programming, Management, Software Engineering",3,4,2,5,4,5,Turning data into insight,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing",Software Engineer,Information Technology
8/2/2018 13:21:56,DNA,Education and Training,0,2,"Information Retrieval, Visualisation, Data mining, Programming",4,4,5,5,3,4,Creating insights from data to support decision making.,"Relational databases, NoSQL, Machine learning, Natural Language Processing, Customer Relationship Management","Data Scientist, Analyst, Research",Information Technology
