suburb,incident_date,injuries,offender,victim,
Ocean Throughway,4/1/15,no injuries,??,Dog,
Ocean Grove,6/1/15,bite marks,Jack Russell,Person/dog,
Grovedale,7/1/15,bites,??,Dog,
Norlane,7/1/15,bites,??,Cat,
Corio,8/1/15,bites,??,Dog,
North Geelong ,12/1/15,??,??,Person ,
Drysdale,22/1/15,"death, bites",Sib Husky,Cat/ sheep,
Newtown,28/1/15,bites,Mastiff,Dog,
North Geelong,29/1/15,bites,Staf, Dog,
St Leonards,30/1/15,Bites,Great Dane,Dog,
Grovedale,30/1/15,bite on ear,POMX,Dog,
Portarlington,9/1/15,Bite,Staffy,Dog/Child,
Corio,17/1/15,??,??,??,
Bell Post Hill,27/1/15,??,American Staffordshire,Dog,
Ocean Grove,31/1/15,pelvic fracture and bites,Labradoodle,dog/person,
Ocean Grove Public,26/1/15,bites,Maltese x,Dog,
Point Lonsdale,11/1/15,bites,Jack Russell,person,
Point Lonsdale,11/1/15,Bite,Jack Russell,Person,
Clifton Springs,2/2/15,death,no specified,Kitten,
Grovedale,4/2/15,bites,Not specified on rfs,dogs,
NEWTOWN,4/2/15,bite,Hungarian Vizsla,Person ,
Newtown,7/2/15,bite,Bull Terrier,person dog,
Marshall,17/2/15,death,??,sheeps, 
Drysdale,19/2/15,??,??,Dog,
Curlewis,20/2/15,injured,??,ewe,
Ocean Grove,19/2/15,not specified,??,Dog,
BELL POST HILL,14/2/15, death,Dalmatian,dog,
lara,28/1/15,not specified,Alaskan/Malamute,cat,
Indented Head,11/2/15,bite,"Staghound, Mastiff/Cross",person,
Curlewis,2/3/15,?,not attached to RFS,Dog,
Moolap,9/3/15,puncture wound,Rottweiler,Dog,
Geelong,15/3/15,Death of Dog,Blue Heeler,Dog,
Grovedale,15/3/15,Not specified,Pomeranian/Cross,Dog,
South Geelong,19/3/15,Dog was admitted for surgery,German Shepherd,Dog,
Whittington,22/3/15,?,?,Dog,
Norlane,23/3/15,Death,?,Cat,
Newtown,24/3/15,Bite,Shitzhu,Person,
Leopold,19/3/15,"Broken Jaw, Punctured leg",Staffy,Dog,
Bell Park,12/3/15,?,?,Dog,
Lara,31/3/15,?,?,Dog,
Leopold,31/3/15,death?,?,Dog,
Ocean Grove,31/3/15,Puncture,?,Dog,
Belmont,1/4/15,puncture ,kelpie x,Dog/Person,
Marshall,1/4/15,?,?,dog ,
Corio,2/4/15,?,Pitbull like,Dog,
Ocean Grove,7/4/15,?,Staffy,Dog,
Ocean Grove,7/4/15,torn clothing,Lab x,Person,
Armstrong Creek,9/4/15,death,bulldog x,Sheeps,
Lara,9/4/15,?,bull terrier ,sheeps,
Belmont,15/4/15,?,?,Person,
North Geelong,17/4/15,?,?,Child,
Thomson,20/4/15,?,?,Chickens,
Leopold,20/4/15,puncture wounds,?,Dog,
Leopold,22/4/15,?,?,Dog,
LEOPOLD,21/4/15,?,Staffy,Dog,
Drysdale,24/4/15,bite  on right leg,Blue Heeler x,Person,
Lara,1/4/15,death,2 pitbulls& whippet,cat,
Belmont,14/4/15,bite,poodle x Schnauzer ,People,
Norlane,25/4/15,death,Pitbull x,Cat,
Wallington,26/4/15,death?,Lab  ,Chooks,
Herne Hill,1/5/15,Bite Mark,?,Dog,
Corio,2/5/15,death,"Husky, German Shepherd",Chooks,
Newtown,4/5/15,Bite Mark,Blue Heeler,Person,
Highton,6/5/15,Bite Mark,Blue Heeler,Dog,
Bell park,2/1/14,,Samoyed,Dog,
Lara,23/1/14,Death,Great Dane,Cat,
Bell Post Hill,,Bite,Jack Russell,Person,
Ocean Grove,,Dislocated leg & HipBite,Staffy,DogPerson,
Thomson,,Bite,Heeler,Person,
Lovely Banks,20/1/14,Bite,Jack Russell,Person,
St Leonards,5/1/14,Torn Nose,Kelpie,Person,
Bell Park,14/2/14,,St Bernard,Dog,
Geelong,10/2/14,Bite,Staffy,Dog ,
Lovely Banks,28/2/14,Death,Rottweiler,Goat,
Lara,5/2/14,Death,StaffyJack Russell,Chicken,
Wandana Heights,25/2/14,Severe tearing,Blue Heeler,Person,
Wandana Heights,5/2/14,,Weimaraner,Dog,
Corio,9/2/14,Broken Skin,Staffy x 2,Dog,
Corio,9/2/14,Broken Skin,Staffy x 2,Dog,
Norlane,,Puncture Wound,,Dog,
Waurn Ponds,25/2/14,Bite,Staffy,Person,
Portarlington,7/3/14,,Bull Terrier,Cat,
Whittington,17/3/14,Puncture Wound,,Dog,
Armstrong Creek,21/3/14,,Pitbull X,Dog,
Lara,,Mauled,Huskies X 2,Dog,
LARA,1/3/14,Severe Tearing,Bull Mastiff,Person,
Lara,19/3/14,Death,,Dog,
North Geelong,24/3/14,Broken Skin,Dachshund,Person,
Breakwater,12/3/14,Broken Skin,Bulldog x,Person,
Wallington,13/4/14,Death,,Sheep,
Newtown,15/4/14,Puncture Wound,German Shepherd,Dog,
Drysdale,,,,Dog,
Leopold,26/4/14,Death,,Chicken,
